,Region,Condition,Rooms,Rent,Year_Construction,Space
0,Mitte,first_time_use,4.0,2659.0,2019,117.2
1,Kreuzberg,first_time_use,1.0,1200.0,2020,29.33
2,Köpenick,well_kept,2.0,979.0,1997,83.61
3,Wilmersdorf,well_kept,4.0,1830.22,1900,171.18
4,Kreuzberg,first_time_use,2.0,2272.0,2020,88.27
5,Köpenick,well_kept,2.0,840.0,1997,73.51
6,Mitte,mint_condition,2.0,1509.45,2015,61.61
7,Charlottenburg,well_kept,2.0,730.73,1900,72.61
8,Friedrichsfelde,well_kept,2.0,561.93,1971,62.4
9,Tiergarten,first_time_use,3.0,1789.0,2020,77.66
10,Mitte,first_time_use,4.0,2499.0,2019,125.2
11,Kreuzberg,first_time_use,2.0,2328.0,2020,90.36
12,Mitte,first_time_use,3.0,2500.0,2019,81.1
13,Kreuzberg,mint_condition,2.0,6450.0,2016,186.0
14,Tiergarten,first_time_use,2.0,1399.65,2019,66.65
15,Mitte,well_kept,2.0,1505.6,2018,75.28
16,Friedrichsfelde,first_time_use,3.5,1429.1,2020,82.05
17,Köpenick,mint_condition,1.0,930.0,2018,29.12
18,Friedrichsfelde,first_time_use,2.0,868.06,2020,49.19
19,Mitte,first_time_use,4.0,2179.0,2019,95.8
20,Mitte,no_information,3.0,1829.0,2019,67.0
21,Köpenick,well_kept,3.0,1589.0,1994,105.47
22,Prenzlauer,mint_condition,3.0,1831.0,2019,72.28
23,Tiergarten,no_information,1.0,1060.0,2020,32.0
24,Prenzlauer,mint_condition,3.0,3103.0,1918,141.75
25,Tiergarten,no_information,2.0,1619.0,2020,60.0
26,Mitte,mint_condition,1.0,715.0,2014,19.0
27,Köpenick,mint_condition,3.0,1237.83,2015,80.97
28,Charlottenburg,first_time_use,3.0,2290.0,2019,96.81
29,Charlottenburg,mint_condition,2.0,1810.0,2016,100.47
30,Tiergarten,first_time_use,3.0,2320.0,2019,101.38
31,Charlottenburg,first_time_use,4.0,2230.0,2019,112.26
32,Tiergarten,fully_renovated,3.0,2155.0,1990,101.15
33,Mitte,mint_condition,4.0,2660.9,2017,132.81
34,Mitte,mint_condition,2.0,1427.82,2017,73.97
35,Wilmersdorf,first_time_use,4.0,3170.0,2019,139.07
36,Tiergarten,first_time_use,1.0,999.0,2019,28.0
37,Charlottenburg,well_kept,2.0,849.24,1969,84.0
38,Wedding,no_information,2.5,658.11,1930,60.0
39,Charlottenburg,first_time_use,2.0,1340.0,2019,47.4
40,Tiergarten,fully_renovated,4.0,2433.0,1998,120.64
41,Tiergarten,fully_renovated,4.0,3275.0,1990,156.68
42,Tiergarten,no_information,1.0,311.04,1900,32.0
43,Mitte,no_information,4.0,3677.7,2016,125.54
44,Mitte,first_time_use,3.0,1740.0,2020,75.7
45,Neukölln,first_time_use,2.0,1404.66,2019,68.52
46,Wedding,mint_condition,1.0,772.0,2017,20.5
47,Neukölln,well_kept,2.0,479.87,1918,47.12
48,Neukölln,first_time_use,3.0,1853.33,2019,82.37
49,Wedding,no_information,1.0,511.15,1900,49.0
50,Wedding,mint_condition,1.0,845.0,2017,27.8
51,Prenzlauer,first_time_use_after_refurbishment,2.0,2724.17,1918,135.68
52,Prenzlauer,first_time_use,2.0,2251.0,2019,79.05
53,Charlottenburg,fully_renovated,5.0,3195.0,1905,170.0
54,Prenzlauer,first_time_use,3.0,2812.0,2019,100.7
55,Charlottenburg,first_time_use,1.0,976.0,2019,37.69
56,Tiergarten,well_kept,3.0,2044.85,2015,114.99
57,Wedding,first_time_use,1.0,959.0,2017,27.8
58,Tiergarten,well_kept,2.0,850.0,1902,55.0
59,Charlottenburg,mint_condition,3.0,2071.9,2016,107.33
60,Prenzlauer,first_time_use,4.0,4500.0,1918,225.0
61,Mitte,mint_condition,4.0,5530.0,2016,201.0
62,Charlottenburg,first_time_use,1.0,1049.0,2019,40.51
63,Mitte,no_information,3.0,1629.0,2015,106.0
64,Prenzlauer,mint_condition,2.5,1640.0,2014,80.0
65,Charlottenburg,first_time_use,2.0,1498.0,2019,47.2
66,Mitte,first_time_use,1.0,889.0,2018,27.71
67,Friedrichsfelde,first_time_use,4.0,1598.0,2016,118.0
68,Tiergarten,mint_condition,5.0,4945.0,2019,215.0
69,Mitte,no_information,2.0,1500.0,1900,57.0
70,Wedding,first_time_use_after_refurbishment,4.0,1949.26,1902,104.63
71,Neukölln,first_time_use,2.0,1265.0,1900,59.0
72,Tiergarten,mint_condition,2.5,2500.0,1910,125.0
73,Tiergarten,mint_condition,2.0,1565.0,2017,67.27
74,Mitte,mint_condition,2.0,1550.0,2017,46.0
75,Prenzlauer,fully_renovated,3.0,1424.75,1890,88.5
76,Kreuzberg,first_time_use,5.0,4400.0,1867,236.0
77,Köpenick,first_time_use,3.0,1690.0,2019,99.4
78,Kreuzberg,fully_renovated,2.5,3400.0,2015,106.0
79,Wedding,first_time_use_after_refurbishment,2.5,1189.48,1902,61.44
80,Tiergarten,no_information,3.0,1570.0,2018,83.0
81,Köpenick,first_time_use,2.0,1000.0,2019,56.7
82,Kreuzberg,first_time_use,4.0,2680.0,2019,116.5
83,Charlottenburg,first_time_use,3.0,2100.0,2020,121.91
84,Neukölln,well_kept,1.0,450.0,1910,14.0
85,Charlottenburg,first_time_use,2.0,1520.0,2020,98.72
86,Wilmersdorf,refurbished,1.0,1025.0,1959,37.0
87,Mitte,mint_condition,2.0,1790.0,2013,30.0
88,Mitte,no_information,4.0,1960.0,2011,116.21
89,Tiergarten,no_information,3.0,1610.0,2018,83.0
90,Mitte,mint_condition,1.0,1690.0,2013,25.0
91,Charlottenburg,modernized,2.0,794.0,1889,40.2
92,Mitte,mint_condition,2.0,1790.0,2013,34.0
93,Mitte,mint_condition,3.0,3228.25,2015,142.1
94,Wilmersdorf,first_time_use,3.5,2862.0,2020,106.0
95,Mitte,mint_condition,4.0,3390.0,2013,55.0
96,Mitte,mint_condition,1.5,1490.0,2013,21.0
97,Wedding,no_information,2.0,383.46,1890,48.23
98,Charlottenburg,fully_renovated,2.0,872.07,1973,61.71
99,Neukölln,no_information,2.0,900.0,1900,33.75
100,Prenzlauer,mint_condition,3.0,3732.64,2019,182.0
101,Wilmersdorf,first_time_use_after_refurbishment,7.0,4288.0,1900,202.0
102,Prenzlauer,mint_condition,3.0,3251.66,2019,151.0
103,Tiergarten,mint_condition,3.0,4500.0,1887,230.0
104,Prenzlauer,mint_condition,2.5,2237.78,2019,109.0
105,Mitte,no_information,3.0,2000.0,2003,98.0
106,Prenzlauer,mint_condition,4.0,3362.41,2019,164.0
107,Prenzlauer,mint_condition,4.0,3664.25,2019,170.0
108,Neukölln,mint_condition,3.0,2080.0,2019,95.0
109,Tiergarten,mint_condition,3.0,2227.0,1998,105.97
110,Neukölln,no_information,2.0,1750.0,2019,80.0
111,Mitte,mint_condition,3.0,2879.0,1999,167.0
112,Kreuzberg,mint_condition,3.0,3780.0,1904,207.0
113,Mitte,no_information,2.0,2320.0,2005,95.0
114,Köpenick,modernized,3.0,1318.0,1992,105.76
115,Charlottenburg,well_kept,2.5,1209.0,1905,81.0
116,Wilmersdorf,first_time_use_after_refurbishment,1.0,990.0,1900,35.0
117,Mitte,mint_condition,4.0,4475.0,2006,209.0
118,Mitte,mint_condition,1.0,1850.0,2009,109.0
119,Prenzlauer,mint_condition,5.0,5930.0,2005,324.0
120,Tiergarten,first_time_use,3.5,2076.38,2018,90.06
